# BESTOBJ vsys evsys ra dec pmra pmdec pmra_error pmdec_error
1237660635454701712 144.74189733289643 18.080650018505636 146.0578221298747 40.220710492846784 -0.7122898400929718 -0.3808361803566327 0.1314713 0.13313808
1237660635453718722 172.4299133566438 15.67990217811826 143.48258295308625 39.134016314633406 -0.028847745419138482 -0.7543434914849512 0.18413734 0.14339703
1237667734496018571 199.5184474397135 6.16910481323331 153.801687668773 19.050960663127462 -1.0060799734771972 -0.1399815908174632 0.11454555 0.08242973
1237657770706600085 109.05780600211418 1.1386029133602216 140.40968264470635 48.0145216381221 -0.4869545209858738 -0.5539682812956133 0.18428835 0.14559132
1237667782285131881 214.92233296954066 7.709040300841946 153.9963859508333 19.22272319215446 -1.1339169744142876 0.06789307294324107 0.13408543 0.09123308
1237668290157281403 194.631706556603 10.0467495734187 154.824907361193 18.22602494022232 -0.9945325719274154 -0.10510962532141939 0.14076222 0.1491372 
1237657606967459944 86.51985123343042 12.399066381451147 139.3563083122088 46.724555891527935 -0.279968563752823 -0.6292773017028923 0.1858491 0.13959555
1237657773935624421 140.5783835988534 6.938319618991015 144.29503918869736 43.4294337335125 -0.3416400934990602 -0.7398494710879135 0.19964886 0.17616324
1237658203425341674 157.18687321418648 17.40562350592248 145.6186671616179 41.56253086725586 -0.5664757041470743 -0.528346424147795 0.14300156 0.1465975 
1237661851456962762 166.6663386456362 6.771809811542839 147.37899775279072 38.73692294785638 -0.7058052234038561 -0.19352876211550307 0.15419771 0.15048403
1237664870825918615 171.9412839495696 13.919009726875803 147.81259775368972 32.49737385251043 -0.7635643927646665 -0.6064256155133588 0.22566085 0.16151614
1237665099002937435 208.00721987616973 4.581551719407043 148.36048977545946 30.02345927047326 -0.5250320902025222 -0.46081873280297303 0.20966223 0.13489716
1237665129604317276 197.72635723867353 35.430817451104105 148.91221372666084 30.426268660857506 -0.8180726110528247 -0.45368077790387806 0.17184371 0.15651184
1237660634916913359 53.1475608409107 12.118073511772122 143.9132243038648 38.85322157063345 -0.5375639501205797 -0.626203277624593 0.17700215 0.13339487
1237660763234107516 166.0008212377214 4.421332565708529 147.19267580680915 37.1316673493049 -0.7103167083332176 -0.15849014256125765 0.1767895 0.1357914 
1237661850382696669 140.71560938910017 10.238946964836153 146.44757050110962 37.55324300083527 -0.4014293075354787 -0.45435518956285303 0.15141556 0.14575693
1237661139030966463 156.13071125204198 2.4777532348072007 146.00853737265223 36.265833327093034 -0.3048447181726862 -0.6872070421513599 0.16656056 0.13320631
1237657874867421307 160.5731070613999 12.65719402417184 144.27165203495437 42.60334608508612 -0.49367901125468105 -0.24990309275498407 0.18821219 0.15026526
1237667252929036352 180.31870027429628 22.057075277025216 151.89251344285617 24.831495263546827 -0.9277225505702044 -0.2738391528663646 0.15428135 0.1437901 
1237657771780866136 111.55965546229567 8.631830994439083 141.13135381667658 49.382728046855284 -0.633963518033664 -0.20985505032856397 0.18917473 0.19683586 
